City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,morondava,-20.2833,44.2833,23.6,88,0,2.69,MG,1681518551
171,changji,44.0167,87.3167,12.44,37,0,2.0,CN,1681518551
172,kruisfontein,-34.0033,24.7314,12.71,69,5,4.54,ZA,1681518552
173,luderitz,-26.6481,15.1594,20.45,43,0,6.33,NA,1681518552
174,lompoc,34.6391,-120.4579,17.61,71,75,5.14,US,1681518552
175,oktyabrskiy,54.4815,53.471,-4.0,39,0,7.33,RU,1681518552
176,trabzon,40.9167,39.8333,9.05,66,0,2.06,TR,1681518553
177,georgetown,5.4112,100.3354,27.97,89,40,1.54,MY,1681518399
178,kuminskiy,58.6667,66.5667,-9.08,61,0,1.02,RU,1681518553
179,rafaela,-31.2503,-61.4867,16.66,44,49,0.45,AR,1681518554
180,sorland,67.667,12.6934,5.92,74,86,6.78,NO,1681518554
181,baoning,25.3378,110.026,19.92,83,40,3.0,CN,1681518554
182,straumen,63.8709,11.2999,7.0,77,100,2.64,NO,1681518554
183,havre-saint-pierre,50.2334,-63.5986,3.2,52,0,5.66,CA,1681518555
184,starodub,52.5844,32.7633,5.01,59,100,5.26,RU,1681518555
185,nemuro,43.3236,145.575,3.54,68,49,2.81,JP,1681518555
186,okha,53.5739,142.9478,-2.59,86,100,2.9,RU,1681518555
187,ahuimanu,21.4447,-157.8378,28.84,62,40,6.17,US,1681518556
188,ngunguru,-35.6167,174.5,18.61,76,100,10.91,NZ,1681518556
189,atherton,53.5237,-2.4935,6.35,89,72,1.82,GB,1681518556
190,khatanga,71.9667,102.5,-12.18,95,99,7.15,RU,1681518556
191,alofi,-19.0595,-169.9187,28.94,61,79,6.17,NU,1681518557
192,esperance,-33.8667,121.9,15.04,67,98,9.1,AU,1681518557
193,souillac,-20.5167,57.5167,24.21,94,40,1.54,MU,1681518557
194,skibbereen,51.55,-9.2667,6.73,87,18,2.23,IE,1681518558
195,ambilobe,-13.2,49.05,22.07,96,11,1.27,MG,1681518558
196,mwingi,-0.9344,38.0601,19.83,87,89,0.86,KE,1681518559
197,coihaique,-45.5752,-72.0662,6.97,76,0,1.54,CL,1681518559
198,nanortalik,60.1432,-45.2371,1.22,80,100,1.98,GL,1681518559
199,pisco,-13.7,-76.2167,24.03,78,0,9.26,PE,1681518560
200,verkhoyansk,67.5447,133.385,-7.25,92,100,1.5,RU,1681518560
201,leningradskiy,69.3833,178.4167,-13.35,80,23,2.72,RU,1681518561
202,port hardy,50.6996,-127.4199,11.1,50,100,6.17,CA,1681518561
203,hamilton,39.1834,-84.5333,22.69,60,75,1.54,US,1681518561
204,cockburn town,21.4612,-71.1419,25.8,80,74,8.98,TC,1681518561
205,palu,-0.8917,119.8707,28.0,77,97,0.64,ID,1681518561
206,ponta do sol,32.6667,-17.1,17.35,75,1,2.92,PT,1681518562
207,la brea,15.8,-85.9667,28.73,70,20,5.14,HN,1681518563
208,kitgum,3.2783,32.8867,19.99,74,61,2.27,UG,1681518563
209,amambai,-23.1042,-55.2258,18.8,95,32,1.82,BR,1681518563
210,kaitangata,-46.2817,169.8464,16.63,69,4,3.13,NZ,1681518563
211,myitkyina,25.3833,97.4,21.7,39,21,0.91,MM,1681518563
212,bowen,-20.0167,148.2333,27.1,67,93,3.67,AU,1681518564
213,poum,-20.2333,164.0167,25.22,78,100,2.28,NC,1681518564
214,sao felix do xingu,-6.6447,-51.995,23.17,95,66,0.82,BR,1681518564
215,bloomfield,40.8068,-74.1854,28.81,31,0,7.2,US,1681518565
216,cayenne,4.9333,-52.3333,24.02,94,20,1.03,GF,1681518565
217,tura,25.5198,90.2201,25.26,25,100,1.45,IN,1681518565
218,vila franca do campo,37.7167,-25.4333,17.23,85,97,4.39,PT,1681518565
219,dingle,10.9995,122.6711,28.25,71,45,0.98,PH,1681518566
220,taoudenni,22.6783,-3.9836,28.69,8,0,3.54,ML,1681518566
221,talnakh,69.4865,88.3972,-23.65,97,100,3.71,RU,1681518566
222,evensk,61.95,159.2333,-6.52,60,92,5.86,RU,1681518566
223,chokurdakh,70.6333,147.9167,-9.63,88,100,1.69,RU,1681518567
224,clyde river,70.4692,-68.5914,-14.87,78,100,4.12,CA,1681518567
225,liberia,6.5,-9.5,23.97,94,100,0.87,LR,1681518567
226,akdepe,42.0551,59.3788,9.05,47,2,3.17,TM,1681518567
